<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
GAZP,60,12/02/20,14:00:00,239.1300000,239.4700000,238.3600000,238.8400000
GAZP,60,12/02/20,15:00:00,238.8400000,238.9400000,237.6000000,237.7300000
GAZP,60,12/02/20,16:00:00,237.8000000,238.0800000,236.7000000,237.5700000
GAZP,60,12/02/20,17:00:00,237.5700000,237.9900000,236.1300000,236.8800000
GAZP,60,12/02/20,18:00:00,236.8500000,237.6500000,236.2600000,236.7300000
GAZP,60,12/02/20,19:00:00,236.7300000,238.4500000,236.5800000,238.0300000
GAZP,60,13/02/20,11:00:00,236.9000000,237.9800000,236.0100000,236.4800000
GAZP,60,13/02/20,12:00:00,236.4800000,237.2000000,235.0000000,235.9300000
GAZP,60,13/02/20,13:00:00,235.8900000,236.1000000,234.0100000,234.5000000
GAZP,60,13/02/20,14:00:00,234.5000000,235.6500000,233.7000000,235.4000000
GAZP,60,13/02/20,15:00:00,235.4900000,235.5000000,234.3700000,235.1800000
GAZP,60,13/02/20,16:00:00,235.1800000,235.3700000,234.2700000,234.5400000
GAZP,60,13/02/20,17:00:00,234.5400000,235.3400000,234.0100000,234.9300000
GAZP,60,13/02/20,18:00:00,234.9800000,235.5200000,234.1400000,234.2600000
GAZP,60,13/02/20,19:00:00,234.2600000,234.4900000,233.5500000,233.5500000
GAZP,60,14/02/20,11:00:00,233.7900000,235.4000000,233.6000000,234.6200000
GAZP,60,14/02/20,12:00:00,234.6000000,234.6200000,231.8000000,232.0000000
GAZP,60,14/02/20,13:00:00,232.0000000,232.2800000,230.9100000,231.5500000
GAZP,60,14/02/20,14:00:00,231.6400000,233.6000000,231.4400000,232.9500000
GAZP,60,14/02/20,15:00:00,232.9400000,233.2200000,231.9200000,232.1200000
GAZP,60,14/02/20,16:00:00,232.1100000,233.2100000,232.0000000,232.9300000
GAZP,60,14/02/20,17:00:00,232.9200000,233.4500000,231.9900000,232.2900000
GAZP,60,14/02/20,18:00:00,232.2500000,232.8200000,231.4600000,231.4600000
GAZP,60,14/02/20,19:00:00,231.4800000,232.9000000,231.4000000,232.5000000
GAZP,60,17/02/20,11:00:00,233.4000000,234.5600000,233.2700000,233.8100000
GAZP,60,17/02/20,12:00:00,233.9000000,233.9500000,232.2700000,232.4300000
